Club,Season,Expenditure,Arrivals,Income,Departures,Balance,League
Manchester United,02/03,48530000,15,3500000,15,-45030000,PremierLeague
Manchester City,02/03,44450000,16,750000,14,-43700000,PremierLeague
Newcastle United,02/03,34550000,13,225000,14,-34325000,PremierLeague
Middlesbrough FC,02/03,34080000,24,0,27,-34080000,PremierLeague
Liverpool FC,02/03,31500000,18,11800000,16,-19700000,PremierLeague
Sunderland AFC,02/03,29680000,26,0,19,-29680000,PremierLeague
West Bromwich Albion,02/03,16950000,10,0,7,-16950000,PremierLeague
Birmingham City,02/03,15680000,21,1150000,19,-14530000,PremierLeague
Everton FC,02/03,13730000,22,375000,17,-13355000,PremierLeague
Arsenal FC,02/03,12830000,19,8220000,19,-4610000,PremierLeague
Southampton FC,02/03,12000000,16,0,19,-12000000,PremierLeague
Tottenham Hotspur,02/03,10500000,23,1350000,23,-9150000,PremierLeague
Aston Villa,02/03,9080000,24,6900000,17,-2180000,PremierLeague
Blackburn Rovers,02/03,7250000,21,1800000,18,-5450000,PremierLeague
Charlton Athletic,02/03,6750000,13,2650000,13,-4100000,PremierLeague
Leeds United,02/03,4500000,20,80120000,21,75620000,PremierLeague
Fulham FC,02/03,3000000,9,825000,12,-2175000,PremierLeague
West Ham United,02/03,400000,18,75000,19,-325000,PremierLeague
Bolton Wanderers,02/03,0,24,5290000,31,5290000,PremierLeague
Chelsea FC,02/03,0,10,2100000,11,2100000,PremierLeague
Chelsea FC,03/04,170000000,28,950000,22,-169050000,PremierLeague
Manchester United,03/04,56530000,27,59300000,28,2770000,PremierLeague
Tottenham Hotspur,03/04,29750000,20,1750000,23,-28000000,PremierLeague
Arsenal FC,03/04,27420000,24,1050000,22,-26370000,PremierLeague
Blackburn Rovers,03/04,22340000,25,34850000,32,12510000,PremierLeague
Birmingham City,03/04,17100000,17,1950000,27,-15150000,PremierLeague
Liverpool FC,03/04,15650000,22,0,13,-15650000,PremierLeague
Manchester City,03/04,14260000,23,6620000,24,-7640000,PremierLeague
Portsmouth FC,03/04,11780000,38,200000,39,-11580000,PremierLeague
Middlesbrough FC,03/04,10200000,30,1130000,31,-9070000,PremierLeague
Everton FC,03/04,10070000,18,975000,20,-9095000,PremierLeague
Wolverhampton Wanderers,03/04,9880000,27,1150000,20,-8730000,PremierLeague
Southampton FC,03/04,8980000,21,10880000,20,1900000,PremierLeague
Fulham FC,03/04,8480000,33,25040000,28,16560000,PremierLeague
Aston Villa,03/04,8380000,20,290000,29,-8090000,PremierLeague
Charlton Athletic,03/04,1500000,19,15000000,17,13500000,PremierLeague
Leicester City,03/04,1140000,29,0,29,-1140000,PremierLeague
Bolton Wanderers,03/04,750000,29,75000,30,-675000,PremierLeague
Leeds United,03/04,100000,28,16830000,32,16730000,PremierLeague
Newcastle United,03/04,0,17,5000000,22,5000000,PremierLeague
Chelsea FC,04/05,162400000,24,3300000,25,-159100000,PremierLeague
Manchester United,04/05,61250000,21,9570000,19,-51680000,PremierLeague
Liverpool FC,04/05,58400000,25,24570000,23,-33830000,PremierLeague
Tottenham Hotspur,04/05,47130000,38,10500000,34,-36630000,PremierLeague
Newcastle United,04/05,29450000,18,22280000,19,-7170000,PremierLeague
West Bromwich Albion,04/05,15850000,18,1950000,24,-13900000,PremierLeague
Birmingham City,04/05,15770000,28,8150000,23,-7620000,PremierLeague
Fulham FC,04/05,13950000,26,5200000,22,-8750000,PremierLeague
Charlton Athletic,04/05,13250000,17,1950000,19,-11300000,PremierLeague
Southampton FC,04/05,12680000,37,11500000,29,-1180000,PremierLeague
Arsenal FC,04/05,12480000,24,3900000,19,-8580000,PremierLeague
Everton FC,04/05,11880000,9,45400000,17,33520000,PremierLeague
Portsmouth FC,04/05,10850000,29,6600000,36,-4250000,PremierLeague
Aston Villa,04/05,10140000,14,3430000,18,-6710000,PremierLeague
Norwich City,04/05,8530000,18,450000,15,-8080000,PremierLeague
Blackburn Rovers,04/05,7880000,21,7700000,21,-180000,PremierLeague
Middlesbrough FC,04/05,6750000,21,3450000,22,-3300000,PremierLeague
Crystal Palace,04/05,5150000,18,100000,16,-5050000,PremierLeague
Manchester City,04/05,1500000,18,7940000,19,6440000,PremierLeague
Bolton Wanderers,04/05,1380000,26,375000,26,-1005000,PremierLeague
Chelsea FC,05/06,91500000,19,34600000,19,-56900000,PremierLeague
Newcastle United,05/06,61750000,17,30900000,16,-30850000,PremierLeague
Arsenal FC,05/06,46000000,20,25000000,18,-21000000,PremierLeague
Liverpool FC,05/06,44060000,30,19040000,26,-25020000,PremierLeague
Tottenham Hotspur,05/06,36510000,28,25450000,27,-11060000,PremierLeague
Everton FC,05/06,32530000,16,7000000,14,-25530000,PremierLeague
Manchester United,05/06,31800000,25,7900000,27,-23900000,PremierLeague
West Ham United,05/06,21590000,33,550000,31,-21040000,PremierLeague
Portsmouth FC,05/06,18780000,40,12150000,37,-6630000,PremierLeague
Aston Villa,05/06,16540000,18,6400000,15,-10140000,PremierLeague
Wigan Athletic,05/06,15770000,17,5630000,19,-10140000,PremierLeague
West Bromwich Albion,05/06,15300000,16,9080000,18,-6220000,PremierLeague
Middlesbrough FC,05/06,13960000,20,0,12,-13960000,PremierLeague
Manchester City,05/06,12480000,13,32500000,13,20020000,PremierLeague
Blackburn Rovers,05/06,9400000,23,2700000,25,-6700000,PremierLeague
Charlton Athletic,05/06,9100000,31,5710000,23,-3390000,PremierLeague
Birmingham City,05/06,8100000,32,7950000,27,-150000,PremierLeague
Fulham FC,05/06,6550000,25,4630000,24,-1920000,PremierLeague
Bolton Wanderers,05/06,6200000,14,0,17,-6200000,PremierLeague
Sunderland AFC,05/06,5930000,24,1430000,27,-4500000,PremierLeague
Chelsea FC,06/07,88980000,20,52600000,17,-36380000,PremierLeague
West Ham United,06/07,69850000,22,6750000,23,-63100000,PremierLeague
Tottenham Hotspur,06/07,61000000,22,38650000,22,-22350000,PremierLeague
Liverpool FC,06/07,46000000,30,24730000,28,-21270000,PremierLeague
Newcastle United,06/07,31880000,11,11180000,14,-20700000,PremierLeague
Wigan Athletic,06/07,29380000,23,24330000,25,-5050000,PremierLeague
Manchester United,06/07,27200000,27,18000000,27,-9200000,PremierLeague
Aston Villa,06/07,24700000,18,1830000,16,-22870000,PremierLeague
Charlton Athletic,06/07,21650000,33,2280000,36,-19370000,PremierLeague
Sheffield United,06/07,18030000,42,3330000,38,-14700000,PremierLeague
Blackburn Rovers,06/07,17980000,27,16910000,24,-1070000,PremierLeague
