id,x,y
AFG,66.0854155,33.8576250
AGO,17.5058563,-12.2942118
ALB,20.0350031,41.1386986
ARE,54.2062702,23.8684768
ARG,-65.1495347,-35.2214813
ARM,44.9977204,40.2185188
ATA,31.1780537,-77.3374550
ATF,69.5348632,-49.3076623
AUS,134.3753348,-25.5596292
AUT,14.0714188,47.6109384
AZE,47.6820030,40.2786949
BDI,29.9102608,-3.3788942
BEL,4.5856336,50.6485795
BEN,2.3352474,9.6509885
BFA,-1.7860365,12.3082952
BGD,90.2635157,23.8397534
BGR,25.1955688,42.7503558
BHS,-77.9076737,24.5113034
BIH,17.8206718,44.1813383
BLR,27.9806933,53.5040503
BLZ,-88.7040227,17.1977220
BMU,-64.7527938,32.3142581
BOL,-64.6436409,-16.7273438
BRA,-53.0564160,-10.8065520
BRN,114.9094572,4.6901096
BTN,90.4722425,27.4286509
BWA,23.7764088,-22.1000012
CAF,20.3706287,6.5394338
CAN,-101.5726535,57.7496274
CHE,8.1197591,46.7913743
CHL,-71.6701218,-37.3402892
CHN,103.8650174,36.6101290
CIV,-5.6100912,7.5519351
CMR,12.6065129,5.6573142
COD,23.5812373,-2.8505313
COG,15.1383745,-0.8359742
COL,-73.0794316,3.9308917
CRI,-84.1762855,9.9651924
CUB,-78.9556506,21.6302568
-99,33.5539939,35.2738295
CYP,33.0371148,34.9100385
CZE,15.3396130,49.7738022
DEU,10.2874001,51.1289942
DJI,42.4967952,11.7747252
DNK,9.3089571,56.2247533
DOM,-70.4629458,18.8827067
DZA,2.5994232,28.1858934
ECU,-78.3866438,-1.4556631
EGY,29.8446341,26.5083909
ERI,38.6773570,15.4297631
ESP,-3.6175969,40.3471474
EST,25.8239618,58.6445427
ETH,39.5533428,8.6526547
FIN,26.2092158,64.5025982
FJI,177.9907529,-17.8317008
FLK,-59.4227083,-51.7108357
FRA,2.3400671,46.6068603
GAB,11.6855709,-0.6452628
GBR,-2.6598682,53.8887390
GEO,43.4797402,42.1624955
GHA,-1.2417452,7.9272313
GIN,-11.0585110,10.4478819
GMB,-15.4288927,13.4786154
GNB,-15.1080844,12.0218829
GNQ,10.3612641,1.6449306
GRC,22.5665223,39.3459920
GRL,-41.5003749,74.7705259
GTM,-90.3671089,15.7037853
GUF,-53.2410395,3.9024768
GUY,-58.9683890,4.7900812
HND,-86.5880295,14.8241718
HRV,16.5623568,45.0188729
HTI,-72.6624847,18.8944662
HUN,19.3600669,47.2015314
IDN,114.0277992,-0.2534915
IND,79.5961524,22.9267601
IRL,-8.0079933,53.1786897
IRN,54.2873045,32.5179053
IRQ,43.7573835,33.0368068
ISL,-18.7539936,65.0766319
ISR,35.0044087,31.4831535
